"Latest: Time (s)";"Latest: Pressure (kPa)"
0;95,584383542
5;95,6277803002
10;95,6396157797
15;95,5725480624
20;95,6396157797
25;95,6987931774
30;95,7619157349
35;95,9236672884
40;96,0775285222
45;96,2392800758
50;96,3536897112
55;96,4286477482
60;96,507550945
65;96,5470025435
70;96,5903993017
75;96,6614121789
80;96,6693024986
85;96,7284798962
90;96,8073830931
95;96,7876572938
100;96,8626153308
105;96,9178475686
110;96,933628208
115;96,9928056056
120;97,0006959253
125;97,0440926836
130;97,0795991222
135;97,0993249214
140;97,1269410403
145;97,209789397
150;97,2216248765
155;97,2650216348
160;97,3360345119
165;97,3281441922
170;97,3281441922
175;97,3241990324
180;97,4109925489
185;97,4701699466
190;97,4780602662
195;97,4859505859
200;97,5411828237
205;97,5372376639
210;97,5490731434
215;97,5924699017
220;97,608250541
225;97,6437569796
230;97,6477021395
235;97,6398118198
240;97,6437569796
245;97,6437569796
250;97,6950440576
255;97,7147698568
260;97,734495656
265;97,7739472544
270;97,7778924142
275;97,7857827339
280;97,7700020946
285;97,7936730536
290;97,8291794922
295;97,8370698119
300;97,8291794922
305;97,8410149717
310;97,8370698119
315;97,8370698119
320;97,8725762505
325;97,9041375292
330;97,8883568898
335;97,8962472095
340;97,8962472095
345;97,8923020497
350;97,9633149268
355;97,8883568898
360;98,0185471646
365;97,9554246071
370;97,959369767
375;97,9672600867
380;98,0067116851
385;98,0185471646
390;98,0303826442
395;98,0224923245
400;98,0185471646
405;98,0185471646
410;98,0303826442
415;98,0224923245
420;98,0382729638
425;98,0698342426
430;98,0737794024
435;98,0816697221
440;98,0658890827
445;98,0777245623
450;98,0658890827
455;98,0816697221
460;98,1250664804
465;98,0698342426
470;98,0777245623
475;98,0816697221
480;98,0737794024
485;98,0816697221
490;98,1053406812
495;98,1329568001
500;98,1211213205
505;98,1290116402
510;98,1329568001
515;98,1250664804
520;98,1329568001
525;98,1290116402
530;98,1684632386
535;98,2039696772
540;98,1921341977
545;98,1921341977
550;98,1881890378
555;98,2000245174
560;98,1960793575
565;98,1960793575
570;98,1960793575
575;98,1921341977
580;98,2000245174
585;98,184243878
590;98,1921341977
595;98,1881890378
600;98,2197503166
