"Latest: Time (s)";"Latest: Pressure (kPa)"
0;95,5725480624
5;95,4660287467
10;95,7540254152
15;95,7895318537
20;95,8999963293
25;96,0301866041
30;96,1367059199
35;96,3181832726
40;96,4957154655
45;96,4957154655
50;96,4759896663
55;96,5430573836
60;96,6101251009
65;96,6811379781
70;96,7955476135
75;96,7994927734
80;96,8626153308
85;96,8981217694
90;96,9770249663
95;97,0243668844
100;97,0559281631
105;97,1072152411
110;97,1782281182
115;97,209789397
120;97,233460356
125;97,2926377536
130;97,3478699914
135;97,3399796718
140;97,3399796718
145;97,3873215899
150;97,3991570694
155;97,458334467
160;97,4543893072
165;97,4820054261
170;97,5411828237
175;97,5214570245
180;97,5254021843
185;97,5885247418
190;97,5766892623
195;97,6437569796
200;97,6477021395
205;97,659537619
210;97,6437569796
215;97,6398118198
220;97,6477021395
225;97,6477021395
230;97,7502762954
235;97,7266053363
240;97,7147698568
245;97,7976182135
250;97,7818375741
255;97,7897278938
260;97,7976182135
265;97,7778924142
270;97,7897278938
275;97,7936730536
280;97,7936730536
285;97,7778924142
290;97,8567956111
295;97,809453693
300;97,8212891725
305;97,8410149717
310;97,8291794922
315;97,8567956111
320;97,8567956111
325;97,8449601316
330;97,8410149717
335;97,8449601316
340;97,8410149717
345;97,9633149268
350;97,9672600867
355;97,9633149268
360;97,9238633284
365;97,9238633284
370;97,9672600867
375;97,9633149268
380;97,9435891276
385;97,9435891276
390;97,9633149268
395;97,9554246071
400;97,9672600867
405;97,959369767
410;97,9633149268
415;97,9790955662
420;97,9869858859
425;98,0067116851
430;98,0303826442
435;98,0185471646
440;98,0106568449
445;98,0303826442
450;98,0067116851
455;98,0067116851
460;98,0224923245
465;98,0264374843
470;98,0185471646
475;98,0106568449
480;98,034327804
485;98,057998763
490;98,0895600418
495;98,0974503615
500;98,0816697221
505;98,0777245623
510;98,0698342426
515;98,0895600418
520;98,0777245623
525;98,0895600418
530;98,0895600418
535;98,0935052016
540;98,0816697221
545;98,1171761607
550;98,1290116402
555;98,1408471197
560;98,1526825993
565;98,1960793575
570;98,1645180788
575;98,1724083985
580;98,2000245174
585;98,2039696772
590;98,2158051567
595;98,2079148371
600;98,2158051567
