"Latest: Time (s)";"Latest: Pressure (kPa)"
0;96,3891961498
5;96,1564317191
10;96,1524865592
15;96,1485413994
20;96,1406510797
25;96,1485413994
30;96,1406510797
35;96,1524865592
40;96,1958833175
45;96,2313897561
50;96,2156091167
55;96,282676834
60;96,3024026332
65;96,3457993915
70;96,3418542317
75;96,3852509899
80;96,408921949
85;96,4168122687
90;96,4799348261
95;96,483879986
100;96,4996606254
105;96,5272767443
110;96,5391122238
115;96,582508982
120;96,5785638222
125;96,5746186624
130;96,5864541419
135;96,5943444616
140;96,6456315395
145;96,6535218592
150;96,6377412198
155;96,657467019
160;96,6416863797
165;96,6377412198
170;96,6495766994
175;96,6535218592
180;96,6456315395
185;96,657467019
190;96,7126992568
195;96,7166444167
200;96,7245347364
205;96,708754097
210;96,7245347364
215;96,6771928183
220;96,6416863797
225;96,6495766994
230;96,6377412198
235;96,6535218592
240;96,6456315395
245;96,6416863797
250;96,6495766994
255;96,6456315395
260;96,6495766994
265;96,6377412198
270;96,6140702608
275;97,5254021843
280;97,533292504
285;97,5175118647
290;97,4228280284
295;97,3163087127
300;97,4543893072
305;97,533292504
310;97,533292504
315;97,5372376639
320;97,5885247418
325;97,6358666599
330;97,5175118647
335;97,5766892623
340;97,5806344221
345;97,5727441025
350;97,5885247418
355;97,5766892623
360;97,5806344221
365;97,5924699017
370;97,6319215001
375;97,6358666599
380;97,6319215001
385;97,6358666599
390;97,6989892174
395;97,683208578
400;97,6910988977
405;97,7621117749
410;97,7542214552
415;97,7621117749
420;97,7818375741
425;97,7502762954
430;97,7739472544
435;97,758166615
440;97,7818375741
445;97,7660569347
450;97,7542214552
455;97,8212891725
460;97,8173440127
465;97,833124652
470;97,833124652
475;97,8291794922
480;97,8252343324
485;97,8252343324
490;97,8252343324
495;97,8173440127
500;97,8252343324
505;97,8291794922
510;97,8212891725
515;97,8883568898
520;97,8725762505
525;97,833124652
530;97,8252343324
535;97,8173440127
540;97,8528504513
545;97,8804665701
550;97,8528504513
555;97,8804665701
560;97,88441173
565;97,88441173
570;97,88441173
575;97,8252343324
580;97,6555924591
585;97,7542214552
590;97,758166615
595;97,7621117749
600;97,7778924142
