"Latest: Time (s)";"Latest: Pressure (kPa)"
0;97,0322572041
5;97,0756539623
10;97,0914346017
15;97,0322572041
20;96,9730798064
25;96,8941766096
30;96,7955476135
35;96,7008637773
40;96,5864541419
45;96,4049767891
50;96,1485413994
55;95,8921060096
60;95,907886649
65;95,8487092514
70;96,4128671088
75;96,582508982
80;96,5785638222
85;96,582508982
90;96,582508982
95;96,5785638222
100;96,6377412198
105;96,5548928631
110;96,5391122238
115;96,5312219041
120;96,5351670639
125;96,5391122238
130;96,5470025435
135;96,5903993017
140;96,4799348261
145;96,4799348261
150;96,7876572938
155;96,6653573387
160;96,6456315395
165;96,6535218592
170;96,6614121789
175;96,7048089372
180;96,7245347364
185;96,7166444167
190;96,7245347364
195;96,7126992568
200;96,7166444167
205;96,7008637773
210;96,5272767443
215;95,9631188868
220;95,8250382923
225;95,8960511695
230;97,5766892623
235;97,5806344221
240;97,584579582
245;97,6358666599
250;97,6358666599
255;97,6358666599
260;97,6279763402
265;97,7147698568
270;97,758166615
275;97,6792634182
280;97,6792634182
285;97,9041375292
290;97,8725762505
295;97,88441173
300;97,8804665701
305;97,9199181686
310;97,9356988079
315;98,0106568449
320;98,0185471646
325;98,0422181237
330;98,1211213205
335;98,109285841
340;98,0540536032
345;98,0816697221
350;98,1369019599
355;98,1960793575
360;98,2552567552
365;98,2986535134
370;98,2907631937
375;98,3617760709
380;98,3302147922
385;98,3578309111
390;98,3657212307
395;98,4248986284
400;98,5038018252
405;98,5038018252
410;98,4998566654
415;98,5195824646
420;98,610321141
425;98,6734436984
430;98,7523468953
435;98,7484017354
440;98,7996888134
445;98,8509758913
450;98,8628113709
455;98,8707016906
460;98,8628113709
465;98,9140984488
470;98,9417145677
475;98,9890564858
480;99,0482338835
485;99,060069363
490;99,0561242031
495;99,0482338835
500;99,0561242031
505;99,060069363
510;99,0916306417
515;99,1113564409
520;99,158698359
525;99,1547531992
530;99,1547531992
535;99,1547531992
540;99,1823693181
545;99,2218209165
550;99,2178757567
555;99,2770531543
560;99,2967789535
565;99,3441208716
570;99,3480660315
575;99,3362305519
580;99,3322853921
585;99,3520111913
590;99,4072434291
595;99,4309143882
600;99,4111885889
