"Latest: Time (s)";"Latest: Pressure (kPa)"
0;96,1406510797
5;96,2156091167
10;96,3379090718
15;96,4128671088
20;96,4010316293
25;96,4365380679
30;96,4720445065
35;96,5193864246
40;96,5312219041
45;96,5312219041
50;96,5430573836
55;96,5943444616
60;96,5706735025
65;96,6298509001
70;96,63379606
75;96,6732476584
80;96,7166444167
85;96,7205895765
90;96,7521508553
95;96,783712134
100;96,8389443718
105;96,8507798513
110;97,083544282
115;97,0283120442
120;97,0756539623
125;97,0795991222
130;97,0283120442
135;97,0401475237
140;97,0519830033
145;97,0677636426
150;97,0795991222
155;97,0795991222
160;97,083544282
165;97,0795991222
170;97,0795991222
175;97,2137345568
180;97,1979539174
185;97,209789397
190;97,2058442371
195;97,209789397
200;97,209789397
205;97,2374055159
210;97,2452958355
215;97,1979539174
220;97,2729119544
225;97,2571313151
230;97,2689667946
235;97,2689667946
240;97,3281441922
245;97,3320893521
250;97,3320893521
255;97,3281441922
260;97,3281441922
265;97,3320893521
270;97,2650216348
275;97,3281441922
280;97,3202538725
285;97,3360345119
290;97,3399796718
295;97,3281441922
300;97,3202538725
305;97,3163087127
310;97,3202538725
315;97,3241990324
320;97,3202538725
325;97,3281441922
330;97,3123635529
335;97,3241990324
340;97,3123635529
345;97,3241990324
350;97,3202538725
355;97,3202538725
360;97,3123635529
365;97,3163087127
370;97,3241990324
375;97,3281441922
380;97,3123635529
385;97,3163087127
390;97,359705471
395;97,3163087127
400;97,3241990324
405;97,3202538725
410;97,3163087127
415;97,3320893521
420;97,3241990324
425;97,3794312702
430;97,3163087127
435;97,3241990324
440;97,3202538725
445;97,3281441922
450;97,3163087127
455;97,3241990324
460;97,434663508
465;97,4622796269
470;97,3241990324
475;97,4543893072
480;97,4464989875
485;97,458334467
490;97,4543893072
495;97,5372376639
500;97,4504441473
505;97,4741151064
510;97,4820054261
515;97,5214570245
520;97,5372376639
525;97,5372376639
530;97,5175118647
535;97,5806344221
540;97,533292504
545;97,5372376639
550;97,5293473442
555;97,5254021843
560;97,5609086229
565;97,5451279836
570;97,5254021843
575;97,5293473442
580;97,5254021843
585;97,5885247418
590;97,5806344221
595;97,5766892623
600;97,5648537828
