"Latest: Time (s)";"Latest: Pressure (kPa)"
0;94,7243386963
1;94,732229016
2;94,7440644955
3;94,7361741759
4;94,7440644955
5;94,783516094
6;94,6888322578
7;94,7282838562
8;94,7992967333
9;94,7795709341
10;94,7953515735
11;94,8229676924
12;94,8466386514
13;94,8348031719
14;94,8545289711
15;94,9215966885
16;94,9018708892
17;94,9255418483
18;94,9137063688
19;94,9649934467
20;94,9768289262
21;94,9689386066
22;94,9965547255
23;95,0636224428
24;95,0715127625
25;95,0636224428
26;95,1780320782
27;95,0596772829
28;95,1661965987
29;95,181977238
30;95,181977238
31;95,1701417585
32;95,181977238
33;95,1661965987
34;95,2372094758
35;95,2450997955
36;95,2293191561
37;95,2450997955
38;95,2450997955
39;95,2253739963
40;95,2608804349
41;95,2845513939
42;95,2924417136
43;95,2884965538
44;95,2963868735
45;95,308222353
46;95,3397836317
47;95,3437287916
48;95,3871255498
49;95,4107965089
50;95,4147416687
51;95,3950158695
52;95,3950158695
53;95,4029061892
54;95,4739190664
55;95,4699739065
56;95,5212609845
57;95,5133706648
58;95,533096464
59;95,5212609845
60;95,5252061443
61;95,5291513042
62;95,5291513042
63;95,5370416238
64;95,5212609845
65;95,5252061443
66;95,5291513042
67;95,5409867837
68;95,5725480624
69;95,5922738616
70;95,5883287018
71;95,5764932223
72;95,5922738616
73;95,6632867388
74;95,6514512593
75;95,6711770585
76;95,6672318986
77;95,6672318986
78;95,6514512593
79;95,6711770585
80;95,6987931774
81;95,7303544561
82;95,7382447758
83;95,7303544561
84;95,734299616
85;95,7185189766
86;95,7224641364
87;95,7855866939
88;95,7855866939
89;95,8013673333
90;95,7816415341
91;95,7816415341
92;95,7895318537
93;95,7895318537
94;95,832928612
95;95,8487092514
96;95,8368737719
97;95,8447640915
98;95,8408189317
99;95,8763253703
100;95,8921060096
101;95,8999963293
102;95,9315576081
103;95,9512834073
104;95,9473382474
105;95,959173727
106;95,9670640467
107;95,9670640467
108;96,0301866041
109;96,0222962844
110;96,034131764
111;96,0262414443
112;96,0144059648
113;96,0775285222
114;96,0775285222
115;96,0972543214
116;96,0933091616
117;96,0933091616
118;96,0893640018
119;96,1445962396
120;96,1367059199
121;96,1485413994
122;96,1406510797
123;96,1367059199
124;96,1722123584
125;96,2116639569
126;96,2471703955
127;96,259005875
128;96,3024026332
129;96,333963912
130;96,3221284325
131;96,3260735923
132;96,3142381128
133;96,3734155104
134;96,4286477482
135;96,4010316293
136;96,4680993466
137;96,4878251458
138;96,507550945
139;96,4996606254
140;96,507550945
141;96,4878251458
142;96,4799348261
143;96,4878251458
144;96,4878251458
145;96,4996606254
146;96,5430573836
147;96,5548928631
148;96,5470025435
149;96,6061799411
150;96,6061799411
151;96,6180154206
152;96,6061799411
153;96,6140702608
154;96,6259057403
155;96,6140702608
156;96,6377412198
157;96,6732476584
158;96,6771928183
159;96,6693024986
160;96,6929734576
161;96,6890282978
162;96,6693024986
163;96,6969186175
164;96,7363702159
165;96,7482056954
166;96,7679314946
167;96,7560960151
168;96,7876572938
169;96,8034379332
170;96,7994927734
171;96,8073830931
172;96,7994927734
173;96,8113282529
174;96,8034379332
175;96,7955476135
176;96,7955476135
177;96,7955476135
178;96,8073830931
179;96,8113282529
180;96,8507798513
181;96,8468346915
182;96,8468346915
183;96,8547250112
184;96,9296830482
185;96,9257378883
186;96,909957249
187;96,9217927285
188;96,9060120891
189;96,9178475686
190;96,9020669293
191;96,9217927285
192;96,9651894867
193;96,9809701261
194;96,9730798064
195;96,984915286
196;96,9691346466
197;96,9809701261
198;96,9928056056
199;96,9888604458
200;96,9770249663
201;97,0164765647
202;97,0362023639
203;97,0480378434
204;97,0559281631
205;97,059873323
206;97,0638184828
207;97,0440926836
208;97,0362023639
209;97,0440926836
210;97,0638184828
211;97,1111604009
212;97,1151055607
213;97,1229958804
214;97,1269410403
215;97,1506119993
216;97,1663926387
217;97,158502319
218;97,1782281182
219;97,1782281182
220;97,1624474789
221;97,1663926387
222;97,1900635978
223;97,1861184379
224;97,2374055159
225;97,2216248765
226;97,2413506757
227;97,2452958355
228;97,2413506757
229;97,2413506757
230;97,2295151962
231;97,2413506757
232;97,2808022741
233;97,2926377536
234;97,284747434
235;97,2886925938
236;97,308418393
237;97,3439248316
238;97,359705471
239;97,3478699914
240;97,3557603111
241;97,3518151513
242;97,3518151513
243;97,3518151513
244;97,359705471
245;97,3518151513
246;97,3518151513
247;97,3399796718
248;97,3518151513
249;97,359705471
250;97,3912667497
251;97,3952119095
252;97,4070473891
253;97,3991570694
254;97,4464989875
255;97,4701699466
256;97,458334467
257;97,4701699466
258;97,4741151064
259;97,4662247867
260;97,4622796269
261;97,4543893072
262;97,4741151064
263;97,4701699466
264;97,4859505859
265;97,5293473442
266;97,5411828237
267;97,5687989426
268;97,5687989426
269;97,6003602213
270;97,6003602213
271;97,5885247418
272;97,608250541
273;97,6477021395
274;97,6398118198
275;97,6477021395
276;97,6555924591
277;97,6477021395
278;97,659537619
279;97,6516472993
280;97,6477021395
281;97,659537619
282;97,6398118198
283;97,659537619
284;97,659537619
285;97,659537619
286;97,6555924591
287;97,659537619
288;97,6555924591
289;97,7029343772
290;97,7226601765
291;97,734495656
292;97,7266053363
293;97,7463311355
294;97,7739472544
295;97,7936730536
296;97,7778924142
297;97,7857827339
298;97,8015633733
299;97,7897278938
300;97,8015633733
301;97,7778924142
302;97,8055085331
303;97,7976182135
304;97,8015633733
305;97,8252343324
306;97,8489052914
307;97,8567956111
308;97,8410149717
309;97,8489052914
310;97,8567956111
311;97,8528504513
312;97,8489052914
313;97,8528504513
314;97,8962472095
315;97,8646859308
316;97,8765214103
317;97,908082689
318;97,9041375292
319;97,908082689
320;97,9159730087
321;97,9435891276
322;97,9633149268
323;97,9514794473
324;97,9554246071
325;97,9672600867
326;97,9514794473
327;97,9475342875
328;97,9633149268
329;97,9554246071
330;97,9712052465
331;97,983040726
332;98,0224923245
333;98,0185471646
334;98,0264374843
335;98,0264374843
336;98,0264374843
337;98,0264374843
338;98,0146020048
339;98,0264374843
340;98,0382729638
341;98,0382729638
342;98,057998763
343;98,0856148819
344;98,0777245623
345;98,0895600418
346;98,0777245623
347;98,0935052016
348;98,0777245623
349;98,0816697221
350;98,0737794024
351;98,0895600418
352;98,0816697221
353;98,1447922796
354;98,1408471197
355;98,1566277591
356;98,1487374394
357;98,1566277591
358;98,1724083985
359;98,2197503166
360;98,2079148371
361;98,2039696772
362;98,2197503166
363;98,2000245174
364;98,2079148371
365;98,2079148371
366;98,2236954764
367;98,2118599969
368;98,2197503166
369;98,1960793575
370;98,2118599969
371;98,2079148371
372;98,2000245174
373;98,2158051567
374;98,2355309559
375;98,2670922347
376;98,2631470748
377;98,2670922347
378;98,2710373945
379;98,3025986733
380;98,3065438331
381;98,3420502717
382;98,3420502717
383;98,3262696323
384;98,3262696323
385;98,3420502717
386;98,3302147922
387;98,3223244725
388;98,3459954315
389;98,3381051118
390;98,3459954315
391;98,3775567103
392;98,3657212307
393;98,3775567103
394;98,3933373496
395;98,3775567103
396;98,3893921898
397;98,3775567103
398;98,3893921898
399;98,3775567103
400;98,3893921898
401;98,4170083087
402;98,4248986284
403;98,4367341079
404;98,4288437882
405;98,4485695874
406;98,4564599071
407;98,4880211859
408;98,4919663457
409;98,4998566654
410;98,5156373048
411;98,4959115055
412;98,5195824646
413;98,5077469851
414;98,5077469851
415;98,4998566654
416;98,4998566654
417;98,4959115055
418;98,5393082638
419;98,5432534236
420;98,5827050221
421;98,5787598622
422;98,5748147024
423;98,5827050221
424;98,6142663008
425;98,5629792229
426;98,5629792229
427;98,5787598622
428;98,5629792229
429;98,5787598622
430;98,6221566205
431;98,6063759811
432;98,6379372599
433;98,6300469402
434;98,6339921
435;98,6261017803
436;98,6379372599
437;98,6300469402
438;98,6339921
439;98,6261017803
440;98,6300469402
441;98,6379372599
442;98,6418824197
443;98,6694985386
444;98,6892243378
445;98,6734436984
446;98,6813340181
447;98,6892243378
448;98,685279178
449;98,7050049772
450;98,7207856165
451;98,7128952969
452;98,760237215
453;98,7799630142
454;98,7681275347
455;98,7641823748
456;98,7760178543
457;98,7484017354
458;98,7641823748
459;98,7444565756
460;98,7681275347
461;98,7641823748
462;98,7720726945
463;98,7720726945
464;98,760237215
465;98,7799630142
466;98,7799630142
467;98,8154694528
468;98,8391404118
469;98,8194146126
470;98,8391404118
471;98,8312500921
472;98,835195252
473;98,8233597724
474;98,8391404118
475;98,8233597724
476;98,835195252
477;98,8273049323
478;98,8312500921
479;98,8233597724
480;98,835195252
481;98,8667565307
482;98,8746468504
483;98,8904274898
484;98,8746468504
485;98,8667565307
486;98,8825371701
487;98,8746468504
488;98,8667565307
489;98,8785920102
490;98,8707016906
491;98,8707016906
492;98,8785920102
493;98,8904274898
494;98,9219887685
495;98,9259339283
496;98,9298790882
497;98,933824248
498;98,9259339283
499;98,9180436087
500;98,9259339283
501;98,9259339283
502;98,9219887685
503;98,9219887685
504;98,9298790882
505;98,9456597276
506;98,9811661661
507;98,9930016457
508;99,0008919653
509;98,9969468055
510;98,985111326
511;99,0127274449
512;99,008782285
513;99,060069363
514;99,0442887236
515;99,0640145228
516;99,0521790433
517;99,0719048425
518;99,0521790433
519;99,0679596827
520;99,083740322
521;99,060069363
522;99,0758500024
523;99,0719048425
524;99,0797951622
