"Latest: Time (s)";"Latest: Pressure (kPa)"
0;95,2963868735
5;95,4778642262
10;95,5212609845
15;95,5212609845
20;95,5173158246
25;95,6475060994
30;95,6632867388
35;95,6475060994
40;95,6790673782
45;95,6475060994
50;95,6711770585
55;95,6514512593
60;95,6514512593
65;95,6751222183
70;95,6475060994
75;95,734299616
80;95,734299616
85;95,7224641364
90;95,757970575
95;95,8289834522
100;95,2963868735
105;95,3634545908
110;95,3713449105
115;95,3950158695
120;95,3950158695
125;95,4147416687
130;95,4857545459
135;95,4620835868
140;95,5252061443
145;95,5449319435
150;95,6632867388
155;95,6672318986
160;95,7145738167
165;95,7974221734
170;95,8210931325
175;95,8368737719
180;95,907886649
185;95,9710092065
190;96,0262414443
195;96,7048089372
200;96,8192185726
205;96,7994927734
210;96,9217927285
215;96,9888604458
220;97,0006959253
225;97,0480378434
230;97,1229958804
235;97,1821732781
240;97,2295151962
245;97,2413506757
250;97,3518151513
255;97,3439248316
260;97,3636506308
265;97,4662247867
270;97,4662247867
275;97,5293473442
280;97,5885247418
285;97,6516472993
290;97,6477021395
295;97,6634827788
300;97,6437569796
305;97,7226601765
310;97,7897278938
315;97,7976182135
320;97,8528504513
325;97,8607407709
330;97,8962472095
335;97,9633149268
340;98,034327804
345;98,0382729638
350;98,0974503615
355;98,0895600418
360;98,1447922796
365;98,2158051567
370;98,2079148371
375;98,2236954764
380;98,2631470748
385;98,3381051118
390;98,3381051118
395;98,3815018701
400;98,3933373496
405;98,4288437882
410;98,4643502268
415;98,5116921449
420;98,5235276244
425;98,5748147024
430;98,5984856614
435;98,6339921
440;98,6418824197
445;98,708950137
450;98,7641823748
455;98,7641823748
460;98,8233597724
465;98,8154694528
470;98,8746468504
475;98,8707016906
480;98,8983178094
485;98,9377694079
490;98,933824248
495;98,9890564858
500;99,060069363
505;99,0640145228
510;99,0758500024
515;99,1389725598
520;99,1508080394
525;99,1350274
530;99,1981499575
535;99,2612725149
540;99,2652176748
545;99,2652176748
550;99,2533821953
555;99,3243950724
560;99,3677918307
565;99,3796273102
570;99,3954079496
575;99,4309143882
580;99,4388047078
585;99,4861466259
590;99,4940369456
595;99,4900917858
600;99,5453240236
