"Latest: Time (s)";"Latest: Pressure (kPa)"
0;95,6553964191
5;95,7855866939
10;95,7264092963
15;95,7934770136
20;95,8999963293
25;96,0144059648
30;96,2037736372
35;96,4799348261
40;96,6495766994
45;96,7994927734
50;97,0440926836
55;97,3399796718
60;97,4938409056
65;97,584579582
70;97,6437569796
75;97,7108246969
80;97,7857827339
85;97,8449601316
90;97,9041375292
95;97,9435891276
100;97,959369767
105;98,0303826442
110;98,3144341528
115;98,2079148371
120;98,2000245174
125;98,1960793575
130;98,2000245174
135;98,2158051567
140;98,2394761158
145;98,259201915
150;98,3223244725
155;98,3302147922
160;98,3302147922
165;98,3302147922
170;98,38544703
175;98,3736115504
180;98,3696663906
185;98,3696663906
190;98,409117989
195;98,4406792677
200;98,4446244276
205;98,4959115055
210;98,4959115055
215;98,5038018252
220;98,4959115055
225;98,4919663457
230;98,5511437433
235;98,5669243827
240;98,5748147024
245;98,5748147024
250;98,5787598622
255;98,5511437433
260;98,5669243827
265;98,610321141
270;98,6221566205
275;98,6300469402
280;98,6142663008
285;98,6182114606
290;98,6182114606
295;98,6734436984
300;98,6892243378
305;98,6971146575
310;98,7010598173
315;98,7405114158
320;98,7641823748
325;98,7484017354
330;98,7365662559
335;98,7681275347
340;98,7720726945
345;98,7996888134
350;98,8154694528
355;98,7799630142
360;98,8312500921
365;98,835195252
370;98,8628113709
375;98,8746468504
380;98,8746468504
385;98,8785920102
390;98,8746468504
395;98,8746468504
400;98,8667565307
405;98,8943726496
410;98,8943726496
415;98,9298790882
420;98,9298790882
425;98,9298790882
430;98,9298790882
435;98,9259339283
440;98,9219887685
445;98,9219887685
450;99,0285080842
455;98,9930016457
460;98,985111326
465;98,9930016457
470;99,0206177646
475;99,060069363
480;99,0521790433
485;99,0719048425
490;99,0719048425
495;99,0561242031
500;99,0482338835
505;99,0442887236
510;99,0679596827
515;99,1231919205
520;99,1231919205
525;99,1310822401
530;99,1192467606
535;99,1389725598
540;99,1271370803
545;99,1113564409
550;99,1192467606
555;99,1547531992
560;99,1823693181
565;99,1823693181
570;99,1902596378
575;99,1744789984
580;99,1744789984
585;99,1784241582
590;99,1784241582
595;99,1902596378
600;99,2297112362
