"Latest: Time (s)";"Latest: Pressure (kPa)"
0;96,1564317191
5;96,3457993915
10;96,333963912
15;96,3457993915
20;96,3536897112
25;96,432592908
30;96,4917703057
35;96,5391122238
40;96,6495766994
45;96,7245347364
50;96,8034379332
55;96,8705056505
60;96,9060120891
65;96,9691346466
70;97,0283120442
75;97,0480378434
80;97,0914346017
85;97,1466668395
90;97,2255700363
95;97,2216248765
100;97,2808022741
105;97,3281441922
110;97,3241990324
115;97,3360345119
120;97,3952119095
125;97,4701699466
130;97,4741151064
135;97,5372376639
140;97,5411828237
145;97,5924699017
150;97,6437569796
155;97,6398118198
160;97,6398118198
165;97,659537619
170;97,7068795371
175;97,7818375741
180;97,7778924142
185;97,8173440127
190;97,833124652
195;97,833124652
200;97,8804665701
205;97,88441173
210;97,908082689
215;97,9514794473
220;98,0106568449
225;98,0185471646
230;98,0658890827
235;98,0737794024
240;98,1250664804
245;98,2000245174
250;98,1921341977
255;98,2000245174
260;98,1921341977
265;98,184243878
270;98,184243878
275;98,2315857961
280;98,2868180339
285;98,3144341528
290;98,3183793126
295;98,310488993
300;98,3696663906
305;98,3657212307
310;98,3617760709
315;98,3893921898
320;98,4446244276
325;98,4525147473
330;98,5038018252
335;98,5038018252
340;98,4998566654
345;98,5038018252
350;98,5077469851
355;98,559034063
360;98,5471985835
365;98,5669243827
370;98,5629792229
375;98,610321141
380;98,6182114606
385;98,610321141
390;98,6182114606
395;98,6142663008
400;98,6734436984
405;98,6773888583
410;98,6892243378
415;98,6773888583
420;98,6734436984
425;98,7128952969
430;98,7484017354
435;98,8075791331
440;98,8036339732
445;98,8115242929
450;98,8194146126
455;98,8194146126
460;98,8194146126
465;98,8273049323
470;98,8273049323
475;98,8707016906
480;98,8707016906
485;98,8785920102
490;98,8785920102
495;98,8864823299
500;98,8785920102
505;98,8746468504
510;98,8864823299
515;98,9140984488
520;98,9298790882
525;98,9456597276
530;98,9377694079
535;98,9535500472
540;98,9456597276
545;98,9417145677
550;98,9614403669
555;98,9969468055
560;98,9969468055
565;99,0127274449
570;99,0442887236
575;99,0679596827
580;99,0561242031
585;99,0561242031
590;99,060069363
595;99,060069363
600;99,0561242031
