"Latest: Time (s)";"Latest: Pressure (kPa)"
0;96,7797669742
5;96,7205895765
10;96,7245347364
15;96,7284798962
20;96,7166444167
25;96,8113282529
30;96,9060120891
35;96,9296830482
40;97,0322572041
45;97,0914346017
50;97,1940087576
55;97,3241990324
60;97,3281441922
65;97,4701699466
70;97,5056763851
75;97,5293473442
80;97,6437569796
85;97,6358666599
90;97,6871537379
95;97,7226601765
100;97,7739472544
105;97,7936730536
110;97,833124652
115;97,833124652
120;97,8725762505
125;97,8804665701
130;97,9041375292
135;97,9514794473
140;98,0106568449
145;98,0185471646
150;98,0264374843
155;98,0658890827
160;98,0737794024
165;98,1013955213
170;98,1211213205
175;98,1763535583
180;98,184243878
185;98,1802987182
190;98,1802987182
195;98,1921341977
200;98,2000245174
205;98,2513115953
210;98,3065438331
215;98,2670922347
220;98,310488993
225;98,3065438331
230;98,310488993
235;98,3183793126
240;98,6221566205
245;98,5984856614
250;98,5235276244
255;98,5038018252
260;98,5038018252
265;98,5116921449
270;98,5511437433
275;98,5550889032
280;98,5511437433
285;98,5669243827
290;98,559034063
295;98,5787598622
300;98,6024308213
305;98,610321141
310;98,6300469402
315;98,610321141
320;98,6142663008
325;98,6221566205
330;98,6142663008
335;98,6024308213
340;98,6024308213
345;98,6142663008
350;98,6182114606
355;98,610321141
360;98,610321141
365;98,6339921
370;98,6694985386
375;98,6773888583
380;98,6813340181
385;98,6773888583
390;98,6694985386
395;98,6616082189
400;98,6734436984
405;98,6773888583
410;98,6694985386
415;98,6734436984
420;98,6694985386
425;98,6694985386
430;98,6734436984
435;98,6813340181
440;98,7128952969
445;98,7207856165
450;98,708950137
455;98,7484017354
460;98,7484017354
465;98,7405114158
470;98,7405114158
475;98,7484017354
480;98,7681275347
485;98,7523468953
490;98,7484017354
495;98,7523468953
500;98,7760178543
505;98,8075791331
510;98,8115242929
515;98,8194146126
520;98,8194146126
525;98,8115242929
530;98,8154694528
535;98,8154694528
540;98,8194146126
545;98,8154694528
550;98,8075791331
555;98,8194146126
560;98,8233597724
565;98,8115242929
570;98,8233597724
575;98,8273049323
580;98,8194146126
585;98,8154694528
590;98,8154694528
595;98,8154694528
600;98,8194146126
