"Latest: Time (s)";"Latest: Pressure (kPa)"
0;96,5943444616
5;97,0322572041
10;97,0440926836
15;97,0914346017
20;97,13483136
25;97,2255700363
30;97,2295151962
35;97,3241990324
40;97,3241990324
45;97,3360345119
50;97,3794312702
55;97,4701699466
60;97,458334467
65;97,4662247867
70;97,5293473442
75;97,5411828237
80;97,6279763402
85;97,6279763402
90;97,5924699017
95;97,6398118198
100;97,7187150166
105;97,7700020946
110;97,7739472544
115;97,833124652
120;97,8291794922
125;97,8410149717
130;97,8686310906
135;97,8923020497
140;97,8923020497
145;97,9396439678
150;97,9514794473
155;98,0224923245
160;98,0106568449
165;98,0777245623
170;98,0619439229
175;98,0777245623
180;98,0698342426
185;98,109285841
190;98,1250664804
195;98,1881890378
200;98,1921341977
205;98,184243878
210;98,1960793575
215;98,184243878
220;98,2907631937
225;98,2552567552
230;98,2986535134
235;98,3144341528
240;98,310488993
245;98,310488993
250;98,3499405914
255;98,3578309111
260;98,3815018701
265;98,3657212307
270;98,3775567103
275;98,4170083087
280;98,4525147473
285;98,4761857063
290;98,4722405465
295;98,5116921449
300;98,5038018252
305;98,5156373048
310;98,5038018252
315;98,5077469851
320;98,5038018252
325;98,5432534236
330;98,5156373048
335;98,5669243827
340;98,6063759811
345;98,6063759811
350;98,610321141
355;98,6142663008
360;98,6182114606
365;98,6616082189
370;98,6537178992
375;98,6734436984
380;98,6734436984
385;98,6734436984
390;98,6813340181
395;98,6813340181
400;98,8628113709
405;98,8785920102
410;98,8746468504
415;98,8667565307
420;98,8707016906
425;98,8667565307
430;98,8707016906
435;98,8904274898
440;98,9259339283
445;98,9417145677
450;98,9219887685
455;98,933824248
460;98,933824248
465;98,9377694079
470;98,9219887685
475;98,9259339283
480;98,933824248
485;98,9259339283
490;98,9417145677
495;98,9219887685
500;98,9417145677
505;98,9219887685
510;98,9219887685
515;98,9377694079
520;98,933824248
525;98,9298790882
530;98,9417145677
535;98,9298790882
540;98,9219887685
545;98,9377694079
550;98,9219887685
555;98,9417145677
560;98,8707016906
565;98,9180436087
570;98,9377694079
575;98,9219887685
580;98,9377694079
585;98,9930016457
590;98,9417145677
595;98,9930016457
600;99,0048371252
