"Latest: Time (s)";"Latest: Pressure (kPa)"
0;95,5212609845
5;95,5764932223
10;95,5804383821
15;95,5686029026
20;95,584383542
25;95,6198899805
30;95,6869576978
35;95,7698060545
40;95,8210931325
45;95,9788995262
50;96,1564317191
55;96,2037736372
60;96,2432252356
65;96,3418542317
70;96,3379090718
75;96,408921949
80;96,4247025884
85;96,4641541868
90;96,4799348261
95;96,5036057852
100;96,5351670639
105;96,5943444616
110;96,6022347813
115;96,6495766994
120;96,6456315395
125;96,6693024986
130;96,7284798962
135;96,7284798962
140;96,7639863348
145;96,7955476135
150;96,7994927734
155;96,7955476135
160;96,8507798513
165;96,9178475686
170;96,9178475686
175;96,9217927285
180;96,933628208
185;96,9730798064
190;96,9770249663
195;96,984915286
200;97,0243668844
205;97,008586245
210;97,0480378434
215;97,0401475237
220;97,0362023639
225;97,0480378434
230;97,0519830033
235;97,083544282
240;97,083544282
245;97,0914346017
250;97,0953797615
255;97,0914346017
260;97,0953797615
265;97,1229958804
270;97,1466668395
275;97,1466668395
280;97,1387765198
285;97,1940087576
290;97,2176797166
295;97,284747434
300;97,2886925938
305;97,2886925938
310;97,2216248765
315;97,3399796718
320;97,2255700363
325;97,2216248765
330;97,209789397
335;97,2216248765
340;97,3320893521
345;97,3399796718
350;97,3241990324
355;97,3241990324
360;97,3399796718
365;97,3320893521
370;97,3281441922
375;97,3320893521
380;97,3320893521
385;97,3320893521
390;97,3360345119
395;97,3360345119
400;97,3952119095
405;97,3320893521
410;97,3360345119
415;97,3320893521
420;97,3281441922
425;97,3320893521
430;97,3518151513
435;97,3320893521
440;97,3399796718
445;97,3518151513
450;97,3320893521
455;97,3636506308
460;97,3873215899
465;97,4031022292
470;97,3912667497
475;97,4031022292
480;97,4031022292
485;97,4031022292
490;97,4109925489
495;97,4070473891
500;97,3991570694
505;97,4070473891
510;97,4188828686
515;97,4188828686
520;97,4307183481
525;97,4267731883
530;97,4425538277
535;97,4504441473
540;97,4622796269
545;97,4780602662
550;97,4622796269
555;97,4741151064
560;97,4662247867
565;97,4780602662
570;97,4780602662
575;97,4662247867
580;97,4662247867
585;97,4662247867
590;97,4820054261
595;97,4662247867
600;97,4662247867
