"Latest: Time (s)";"Latest: Pressure (kPa)"
0;96,5903993017
5;96,6416863797
10;96,4878251458
15;96,4917703057
20;96,4759896663
25;96,5509477033
30;96,5391122238
35;96,5903993017
40;96,5943444616
45;96,5864541419
50;96,6535218592
55;96,6456315395
60;96,7205895765
65;96,7639863348
70;96,7916024537
75;96,8468346915
80;96,9178475686
85;96,9691346466
90;96,9770249663
95;97,0401475237
100;97,0322572041
105;97,2689667946
110;97,1979539174
115;97,1940087576
120;97,209789397
125;97,2176797166
130;97,1979539174
135;97,2255700363
140;97,2729119544
145;97,284747434
150;97,3202538725
155;97,3320893521
160;97,3320893521
165;97,3202538725
170;97,3320893521
175;97,3320893521
180;97,3478699914
185;97,3912667497
190;97,4070473891
195;97,4504441473
200;97,458334467
205;97,458334467
210;97,4701699466
215;97,4662247867
220;97,4701699466
225;97,4780602662
230;97,5254021843
235;97,5214570245
240;97,5411828237
245;97,5214570245
250;97,533292504
255;97,5372376639
260;97,5411828237
265;97,5293473442
270;97,533292504
275;97,5411828237
280;97,5293473442
285;97,533292504
290;97,5411828237
295;97,5372376639
300;97,533292504
305;97,5451279836
310;97,5569634631
315;97,5687989426
320;97,5530183032
325;97,5451279836
330;97,5451279836
335;97,5490731434
340;97,5766892623
345;97,5806344221
350;97,5806344221
355;97,5964150615
360;97,584579582
365;97,5885247418
370;97,6398118198
375;97,5806344221
380;97,5924699017
385;97,6003602213
390;97,6161408607
395;97,584579582
400;97,584579582
405;97,608250541
410;97,608250541
415;97,608250541
420;97,6161408607
425;97,6200860206
430;97,6240311804
435;97,6240311804
440;97,6240311804
445;97,6437569796
450;97,6437569796
455;97,6319215001
460;97,6279763402
465;97,6398118198
470;97,6398118198
475;97,6358666599
480;97,6319215001
485;97,6358666599
490;97,6279763402
495;97,6319215001
500;97,6437569796
505;97,6398118198
510;97,6398118198
515;97,6398118198
520;97,6358666599
525;97,6398118198
530;97,6358666599
535;97,6319215001
540;97,6437569796
545;97,6398118198
550;97,6319215001
555;97,6398118198
560;97,6358666599
565;97,6437569796
570;97,6358666599
575;97,6358666599
580;97,6358666599
585;97,6358666599
590;97,6319215001
595;97,6319215001
600;97,6319215001
