"Latest: Time (s)";"Latest: Pressure (kPa)"
0;96,9770249663
5;96,9809701261
10;96,8271088923
15;96,858670171
20;96,8981217694
25;96,9178475686
30;97,0283120442
35;97,0401475237
40;97,0322572041
45;97,0874894419
50;97,13483136
55;97,2571313151
60;97,3360345119
65;97,3241990324
70;97,3636506308
75;97,458334467
80;97,4701699466
85;97,5254021843
90;97,5806344221
95;97,5885247418
100;97,6398118198
105;97,6279763402
110;97,6398118198
115;97,6910988977
120;97,7305504961
125;97,7660569347
130;97,7660569347
135;97,833124652
140;97,8291794922
145;97,8804665701
150;97,8765214103
155;97,9041375292
160;97,9514794473
165;98,0067116851
170;98,0146020048
175;98,0146020048
180;98,0619439229
185;98,0658890827
190;98,0737794024
195;98,0974503615
200;98,1290116402
205;98,1487374394
210;98,1881890378
215;98,1802987182
220;98,1763535583
225;98,1921341977
230;98,1763535583
235;98,1921341977
240;98,2355309559
245;98,2434212756
250;98,259201915
255;98,2828728741
260;98,3065438331
265;98,310488993
270;98,3144341528
275;98,3025986733
280;98,3144341528
285;98,3025986733
290;98,3223244725
295;98,3499405914
300;98,3578309111
305;98,3617760709
310;98,3815018701
315;98,3538857512
320;98,4051728292
325;98,3696663906
330;98,3696663906
335;98,3578309111
340;98,3893921898
345;98,4367341079
350;98,4248986284
355;98,4446244276
360;98,4327889481
365;98,4485695874
370;98,4406792677
375;98,460405067
380;98,4682953866
385;98,4998566654
390;98,5077469851
395;98,5077469851
400;98,5038018252
405;98,5156373048
410;98,4998566654
415;98,4998566654
420;98,4959115055
425;98,5077469851
430;98,5116921449
435;98,5195824646
440;98,5116921449
445;98,4998566654
450;98,5116921449
455;98,5314179441
460;98,5274727843
465;98,4998566654
470;98,5629792229
475;98,5550889032
480;98,5550889032
485;98,5629792229
490;98,5629792229
495;98,5511437433
500;98,5511437433
505;98,6221566205
510;98,559034063
515;98,5669243827
520;98,559034063
525;98,5274727843
530;98,5827050221
535;98,5669243827
540;98,5669243827
545;98,5708695425
550;98,5748147024
555;98,559034063
560;98,5945405016
565;98,6024308213
570;98,5748147024
575;98,5866501819
580;98,6142663008
585;98,6024308213
590;98,6063759811
595;98,6142663008
600;98,6063759811
