"Latest: Time (s)";"Latest: Pressure (kPa)"
0;96,6456315395
5;96,5943444616
10;96,5864541419
15;96,6101251009
20;96,6456315395
25;96,7797669742
30;96,8941766096
35;96,984915286
40;97,083544282
45;97,2058442371
50;97,3320893521
55;97,3202538725
60;97,4622796269
65;97,5056763851
70;97,5411828237
75;97,6161408607
80;97,6437569796
85;97,6398118198
90;97,7502762954
95;97,758166615
100;97,8291794922
105;97,88441173
110;97,8883568898
115;97,9790955662
120;98,2079148371
125;98,1329568001
130;98,1881890378
135;98,1724083985
140;98,2631470748
145;98,259201915
150;98,3183793126
155;98,3262696323
160;98,3657212307
165;98,4288437882
170;98,5077469851
175;98,5116921449
180;98,5116921449
185;98,5669243827
190;98,6221566205
195;98,6261017803
200;98,6773888583
205;98,7050049772
210;98,7681275347
215;98,8115242929
220;98,8391404118
225;98,8785920102
230;98,8746468504
235;98,9298790882
240;98,9377694079
245;99,0363984039
250;99,0561242031
255;99,0482338835
260;99,0640145228
265;99,1113564409
270;99,1626435189
275;99,1626435189
280;99,2297112362
285;99,2218209165
290;99,284943474
295;99,3046692732
300;99,3401757118
305;99,3480660315
310;99,4190789086
315;99,4230240685
320;99,4979821055
325;99,4979821055
330;99,4900917858
335;99,5058724252
340;99,5650498228
345;99,6084465811
350;99,6123917409
355;99,6084465811
360;99,6676239787
365;99,6676239787
370;99,7425820157
375;99,7425820157
380;99,7425820157
385;99,7504723354
390;99,8057045732
395;99,8017594133
400;99,9240593684
405;99,9319496881
410;99,9082787291
415;99,9714012865
420;99,9753464464
425;100,042414164
430;100,050304483
435;100,034523844
440;100,066085123
445;100,105536721
450;100,093701242
455;100,093701242
460;100,12920768
465;100,14498832
470;100,156823799
475;100,212056037
480;100,212056037
485;100,216001197
490;100,243617316
495;100,298849553
500;100,290959234
505;100,283068914
510;100,283068914
515;100,334355992
520;100,346191472
525;100,338301152
530;100,338301152
535;100,350136631
540;100,38958823
545;100,39353339
550;100,456655947
555;100,464546267
560;100,472436587
565;100,472436587
570;100,448765627
575;100,496107546
580;100,535559144
585;100,543449464
590;100,539504304
595;100,535559144
600;100,527668824
