"Latest: Time (s)";"Latest: Pressure (kPa)"
0;94,2627549948
5;94,432396868
10;94,2627549948
15;93,8682390106
20;94,6730516184
25;94,6691064585
30;94,6927774176
35;94,6769967782
40;94,6730516184
45;94,6691064585
50;94,6848870979
55;94,6927774176
60;94,6927774176
65;94,7440644955
70;94,7440644955
75;94,7361741759
80;94,7401193357
85;94,7874612538
90;94,8032418932
95;94,8032418932
100;94,8466386514
105;94,8348031719
110;93,9589776869
115;93,9589776869
120;93,9589776869
125;93,9471422074
130;93,9589776869
135;93,9629228468
140;93,9589776869
145;93,9431970476
150;93,9392518877
155;93,9510873673
160;93,9589776869
165;93,9431970476
170;93,9550325271
175;93,9471422074
180;93,9431970476
185;93,9471422074
190;93,9589776869
195;93,9589776869
200;94,2548646751
205;93,9471422074
210;93,8800744901
215;93,8958551295
220;93,8919099696
225;93,8958551295
230;93,8721841704
235;93,8721841704
240;93,8958551295
245;93,8879648098
250;93,8761293303
255;93,8879648098
260;93,8958551295
265;93,8879648098
270;93,8879648098
275;93,8879648098
280;93,8879648098
285;93,8879648098
290;93,8919099696
295;93,8800744901
300;93,8761293303
305;93,8958551295
310;93,8800744901
315;93,8682390106
320;93,8721841704
325;93,8721841704
330;93,8919099696
335;93,8840196499
340;93,8800744901
345;93,8761293303
350;93,8721841704
355;93,8919099696
360;93,8800744901
365;93,8958551295
370;93,9037454491
375;93,8721841704
380;94,483683946
385;94,6020387412
390;94,6296548601
395;94,6769967782
400;94,6888322578
405;94,7282838562
410;94,7361741759
415;94,7914064137
420;94,7914064137
425;94,8545289711
430;94,8426934916
435;94,8624192908
440;94,9137063688
445;94,9255418483
450;94,9294870081
455;94,9886644058
460;95,0794030821
465;95,083348242
470;95,1859223979
475;95,1740869184
480;95,1938127176
485;95,2372094758
490;95,2450997955
495;95,2687707546
500;95,308222353
505;95,3003320333
510;95,3595094309
515;95,4186868286
520;95,4344674679
525;95,5054803451
530;95,4502481073
535;95,4739190664
540;95,5409867837
545;95,533096464
550;95,5409867837
555;95,6041093412
560;95,6672318986
565;95,6751222183
570;95,7185189766
575;95,7658608947
580;95,7658608947
585;95,7934770136
590;95,7934770136
595;95,7816415341
600;95,7224641364
