"Latest: Time (s)";"Latest: Pressure (kPa)"
311;98,1960793575
312;98,2000245174
313;98,1921341977
314;98,2079148371
315;98,1881890378
316;98,1960793575
317;98,1921341977
318;98,2039696772
319;98,1921341977
320;98,2000245174
321;98,2039696772
322;98,1921341977
323;98,2039696772
324;98,1881890378
325;98,2000245174
326;98,2000245174
327;98,1960793575
328;98,2000245174
329;98,1881890378
330;98,2000245174
331;98,1881890378
332;98,2039696772
333;98,2197503166
334;98,2039696772
335;98,1960793575
336;98,2039696772
337;98,184243878
338;98,1921341977
339;98,1960793575
340;98,1960793575
341;98,1960793575
342;98,1921341977
343;98,2355309559
344;98,2197503166
345;98,2552567552
346;98,2473664355
347;98,259201915
348;98,2670922347
349;98,2552567552
350;98,259201915
351;98,2552567552
352;98,2670922347
353;98,2631470748
354;98,2670922347
355;98,2670922347
356;98,2749825544
357;98,2710373945
358;98,2986535134
359;98,310488993
360;98,3183793126
361;98,3183793126
362;98,3183793126
363;98,3144341528
364;98,3183793126
365;98,310488993
366;98,3183793126
367;98,310488993
368;98,3144341528
369;98,3183793126
370;98,3223244725
371;98,3144341528
372;98,3302147922
373;98,3144341528
374;98,3302147922
375;98,3183793126
376;98,3223244725
377;98,3223244725
378;98,3262696323
379;98,3183793126
380;98,3144341528
381;98,3223244725
382;98,310488993
383;98,3262696323
384;98,3223244725
385;98,3459954315
386;98,3578309111
387;98,3657212307
388;98,3499405914
389;98,3736115504
390;98,3617760709
391;98,38544703
392;98,3657212307
393;98,38544703
394;98,3696663906
395;98,3775567103
396;98,3736115504
397;98,3815018701
398;98,3775567103
399;98,38544703
400;98,3775567103
401;98,3657212307
402;98,3815018701
403;98,3657212307
404;98,3815018701
405;98,3696663906
406;98,3775567103
407;98,3736115504
408;98,3815018701
409;98,3736115504
410;98,3815018701
411;98,4406792677
412;98,3775567103
413;98,3736115504
414;98,3775567103
415;98,3775567103
416;98,3775567103
417;98,3736115504
418;98,3657212307
419;98,38544703
420;98,3736115504
421;98,3933373496
422;98,38544703
423;98,4170083087
424;98,4288437882
425;98,4525147473
426;98,4564599071
427;98,4446244276
428;98,4406792677
429;98,460405067
430;98,4485695874
431;98,4525147473
432;98,5077469851
433;98,460405067
434;98,4367341079
435;98,4564599071
436;98,4446244276
437;98,4564599071
438;98,4564599071
439;98,4446244276
440;98,4564599071
441;98,4998566654
442;98,4801308662
443;98,4564599071
444;98,4919663457
445;98,4722405465
446;98,4801308662
447;98,4801308662
448;98,484076026
449;98,5195824646
450;98,5077469851
451;98,5116921449
452;98,5156373048
453;98,5116921449
454;98,5116921449
455;98,5195824646
456;98,5156373048
457;98,5156373048
458;98,5116921449
459;98,5116921449
460;98,5235276244
461;98,5116921449
462;98,5274727843
463;98,5077469851
464;98,5195824646
465;98,5077469851
466;98,5235276244
467;98,5156373048
468;98,5195824646
469;98,5156373048
470;98,5116921449
471;98,5156373048
472;98,5116921449
473;98,5195824646
474;98,5077469851
475;98,5235276244
476;98,5156373048
477;98,5156373048
478;98,5156373048
479;98,5156373048
480;98,5195824646
481;98,5156373048
482;98,5235276244
483;98,5116921449
484;98,5116921449
485;98,5156373048
486;98,5156373048
487;98,5116921449
488;98,5156373048
489;98,5116921449
490;98,5156373048
491;98,5077469851
492;98,5116921449
493;98,4998566654
494;98,5156373048
495;98,5077469851
496;98,5156373048
497;98,5116921449
498;98,5195824646
499;98,5156373048
500;98,5195824646
501;98,5116921449
502;98,5156373048
503;98,5116921449
504;98,5195824646
505;98,5116921449
506;98,5156373048
507;98,5077469851
508;98,5156373048
509;98,5116921449
510;98,5195824646
511;98,5235276244
512;98,5077469851
513;98,5156373048
514;98,5116921449
515;98,5195824646
516;98,5156373048
517;98,5156373048
518;98,5156373048
519;98,5077469851
520;98,5195824646
521;98,5235276244
522;98,5274727843
523;98,5195824646
524;98,5314179441
525;98,5393082638
526;98,5550889032
527;98,5511437433
528;98,5314179441
529;98,559034063
530;98,5511437433
531;98,5511437433
532;98,5550889032
533;98,5629792229
534;98,559034063
535;98,5669243827
536;98,5550889032
537;98,5669243827
538;98,5550889032
539;98,5708695425
540;98,6182114606
541;98,5669243827
542;98,5629792229
543;98,5669243827
544;98,559034063
545;98,5669243827
546;98,5629792229
547;98,5669243827
548;98,5629792229
549;98,5708695425
550;98,5669243827
551;98,5748147024
552;98,5669243827
553;98,5984856614
554;98,5748147024
555;98,5905953418
556;98,5748147024
557;98,5827050221
558;98,5787598622
559;98,5787598622
560;98,5945405016
561;98,6655533788
562;98,6734436984
563;98,6892243378
564;98,6694985386
565;98,6734436984
566;98,6813340181
567;98,685279178
568;98,6971146575
569;98,6734436984
570;98,6931694977
571;98,6773888583
572;98,6655533788
573;98,6773888583
574;98,6734436984
575;98,6892243378
576;98,6734436984
577;98,685279178
578;98,6734436984
579;98,685279178
580;98,6773888583
581;98,6813340181
582;98,6892243378
583;98,6773888583
584;98,6892243378
585;98,6734436984
586;98,6892243378
587;98,6892243378
588;98,6892243378
589;98,6971146575
590;98,7010598173
591;98,7326210961
592;98,7523468953
593;98,7641823748
594;98,7444565756
595;98,7562920551
596;98,7484017354
597;98,7681275347
598;98,7444565756
599;98,760237215
600;98,7641823748
