"Latest: Time (s)";"Latest: Pressure (kPa)"
0;96,3260735923
5;96,3931413096
10;96,4128671088
15;96,333963912
20;96,333963912
25;96,3497445513
30;96,3457993915
35;96,3379090718
40;96,3457993915
45;96,4128671088
50;96,3418542317
55;96,3300187521
60;96,4759896663
65;96,483879986
70;96,4799348261
75;96,4799348261
80;96,4957154655
85;96,4680993466
90;96,5114961049
95;96,5312219041
100;96,5746186624
105;96,5785638222
110;96,5864541419
115;96,5864541419
120;96,582508982
125;96,6061799411
130;96,63379606
135;96,6535218592
140;96,63379606
145;96,6535218592
150;96,6416863797
155;96,5943444616
160;96,6022347813
165;96,6653573387
170;96,7245347364
175;96,708754097
180;96,7284798962
185;96,7403153757
190;96,7797669742
195;96,7876572938
200;96,7916024537
205;96,7916024537
210;96,7797669742
215;96,7876572938
220;96,7876572938
225;96,7876572938
230;96,7916024537
235;96,8152734127
240;96,7797669742
245;96,8468346915
250;96,7955476135
255;96,7876572938
260;96,783712134
265;96,7916024537
270;96,7876572938
275;96,7994927734
280;96,7797669742
285;96,7916024537
290;96,7876572938
295;96,7955476135
300;96,7797669742
305;96,8073830931
310;96,7955476135
315;96,7916024537
320;96,7758218143
325;96,783712134
330;96,7758218143
335;96,7679314946
340;96,7955476135
345;96,8034379332
350;96,9060120891
355;96,8902314497
360;96,8152734127
365;96,8113282529
370;96,9060120891
375;96,8981217694
380;96,9139024088
385;96,8389443718
390;96,8428895316
395;96,909957249
400;96,8428895316
405;96,8468346915
410;96,8428895316
415;96,9060120891
420;96,8468346915
425;96,8428895316
430;96,8468346915
435;96,8507798513
440;96,8389443718
445;96,8547250112
450;96,8626153308
455;96,8507798513
460;96,8744508104
465;96,8744508104
470;96,858670171
475;96,8626153308
480;96,8862862899
485;96,8862862899
490;96,8862862899
495;96,8823411301
500;96,8468346915
505;96,9020669293
510;96,8862862899
515;96,8349992119
520;96,858670171
525;96,8626153308
530;96,9020669293
535;96,858670171
540;96,8389443718
545;96,8823411301
550;96,858670171
555;96,9533540072
560;96,9060120891
565;96,909957249
570;96,8981217694
575;96,9415185277
580;96,933628208
585;96,9651894867
590;96,933628208
595;96,9060120891
600;96,8941766096
