"Latest: Time (s)";"Latest: Pressure (kPa)"
0;94,9847192459
5;95,2450997955
10;95,2884965538
15;95,4541932672
20;95,5764932223
25;95,832928612
30;96,0301866041
35;96,3181832726
40;96,5509477033
45;96,7758218143
50;96,8941766096
55;97,0322572041
60;97,158502319
65;97,284747434
70;97,3439248316
75;97,4504441473
80;97,5766892623
85;97,6477021395
90;97,7897278938
95;97,8410149717
100;97,9001923694
105;97,9475342875
110;98,0106568449
115;98,0777245623
120;98,1369019599
125;98,1960793575
130;98,1921341977
135;98,2828728741
140;98,3302147922
145;98,3736115504
150;98,3696663906
155;98,4406792677
160;98,5116921449
165;98,484076026
170;98,5708695425
175;98,5669243827
180;98,6300469402
185;98,6142663008
190;98,6379372599
195;98,6813340181
200;98,7286759362
205;98,7681275347
210;98,7484017354
215;98,8036339732
220;98,8115242929
225;98,8115242929
230;98,8075791331
235;98,8549210512
240;98,8707016906
245;98,8667565307
250;98,8667565307
255;98,9259339283
260;98,9259339283
265;98,933824248
270;98,9259339283
275;98,9219887685
280;98,9298790882
285;98,9496048874
290;98,9772210063
295;99,0048371252
300;99,0127274449
305;99,060069363
310;99,0482338835
315;99,0561242031
320;99,0521790433
325;99,1310822401
330;99,0719048425
335;99,083740322
340;99,1192467606
345;99,1153016008
350;99,1231919205
355;99,1231919205
360;99,1153016008
365;99,1468628795
370;99,1823693181
375;99,1942047976
380;99,1823693181
385;99,1784241582
390;99,1942047976
395;99,1863144779
400;99,1784241582
405;99,1942047976
410;99,209985437
415;99,1823693181
420;99,2060402771
425;99,233656396
430;99,2415467157
435;99,2415467157
440;99,2533821953
445;99,2573273551
450;99,2415467157
455;99,2415467157
460;99,3046692732
465;99,3756821504
470;99,3165047527
475;99,3441208716
480;99,3717369905
485;99,3796273102
490;99,3756821504
495;99,3796273102
500;99,3756821504
505;99,3638466708
510;99,3875176299
515;99,4151337488
520;99,4230240685
525;99,4190789086
530;99,4190789086
535;99,4190789086
540;99,4427498677
545;99,4743111464
550;99,4782563063
555;99,5374337039
560;99,4782563063
565;99,5926659417
570;99,6123917409
575;99,6005562614
580;99,5966111015
585;99,6123917409
590;99,6439530196
595;99,6676239787
600;99,6636788188
