"Latest: Time (s)";"Latest: Pressure (kPa)"
0;96,4720445065
5;96,483879986
10;96,3536897112
15;96,3536897112
20;96,5785638222
25;96,5903993017
30;96,5943444616
35;96,4878251458
40;96,5233315844
45;96,5312219041
50;96,657467019
55;96,657467019
60;96,732425056
65;96,6495766994
70;96,7126992568
75;96,7245347364
80;96,7363702159
85;96,783712134
90;96,9060120891
95;96,8231637324
100;96,9178475686
105;96,9296830482
110;96,9888604458
115;96,9809701261
120;97,0440926836
125;97,083544282
130;97,0401475237
135;97,1466668395
140;97,1151055607
145;97,1466668395
150;97,2176797166
155;97,209789397
160;97,2413506757
165;97,2768571143
170;97,3281441922
175;97,3320893521
180;97,3360345119
185;97,3281441922
190;97,4070473891
195;97,3873215899
200;97,458334467
205;97,458334467
210;97,4780602662
215;97,4859505859
220;97,4780602662
225;97,5411828237
230;97,5372376639
235;97,5372376639
240;97,5806344221
245;97,5885247418
250;97,6358666599
255;97,6516472993
260;97,6319215001
265;97,6437569796
270;97,6398118198
275;97,6516472993
280;97,6398118198
285;97,6753182583
290;97,6950440576
295;97,7778924142
300;97,7818375741
305;97,7660569347
310;97,7700020946
315;97,7660569347
320;97,7897278938
325;97,833124652
330;97,8252343324
335;97,833124652
340;97,8370698119
345;97,8370698119
350;97,8923020497
355;97,88441173
360;97,9001923694
365;97,88441173
370;97,88441173
375;97,9199181686
380;97,9554246071
385;97,9435891276
390;97,9751504064
395;98,0067116851
400;98,0185471646
405;98,0224923245
410;98,0106568449
415;98,0224923245
420;98,0185471646
425;98,0777245623
430;98,0658890827
435;98,0777245623
440;98,0698342426
445;98,057998763
450;98,0737794024
455;98,0698342426
460;98,0777245623
465;98,1290116402
470;98,1250664804
475;98,1290116402
480;98,1487374394
485;98,184243878
490;98,184243878
495;98,1960793575
500;98,1921341977
505;98,184243878
510;98,184243878
515;98,2000245174
520;98,1802987182
525;98,1921341977
530;98,1921341977
535;98,1881890378
540;98,1921341977
545;98,2394761158
550;98,1921341977
555;98,259201915
560;98,1921341977
565;98,2473664355
570;98,259201915
575;98,3025986733
580;98,310488993
585;98,3065438331
590;98,3144341528
595;98,310488993
600;98,3065438331
