"Latest: Time (s)";"Latest: Pressure (kPa)"
0;96,7876572938
5;96,909957249
10;96,7916024537
15;96,8113282529
20;96,8349992119
25;96,8310540521
30;96,8547250112
35;96,8862862899
40;96,9020669293
45;97,0322572041
50;96,984915286
55;97,0204217245
60;97,083544282
65;97,0795991222
70;97,1151055607
75;97,1742829584
80;97,1979539174
85;97,1979539174
90;97,2689667946
95;97,3202538725
100;97,3163087127
105;97,3163087127
110;97,3281441922
115;97,3952119095
120;97,3281441922
125;97,4741151064
130;97,458334467
135;97,458334467
140;97,4504441473
145;97,5372376639
150;97,5254021843
155;97,6319215001
160;97,584579582
165;97,6319215001
170;97,7187150166
175;97,683208578
180;97,7187150166
185;97,7463311355
190;97,7542214552
195;97,8291794922
200;97,8252343324
205;97,8133988528
210;97,7542214552
215;97,7502762954
220;97,7660569347
225;97,7739472544
230;97,8291794922
235;97,758166615
240;97,7502762954
245;97,8252343324
250;97,7700020946
255;97,9475342875
260;98,0067116851
265;98,0067116851
270;98,0146020048
275;98,0540536032
280;98,0658890827
285;98,0146020048
290;98,0067116851
295;98,0106568449
300;98,0027665253
305;98,0106568449
310;98,0027665253
315;98,0106568449
320;98,0067116851
325;98,0106568449
330;98,0185471646
335;98,0146020048
340;98,0027665253
345;98,0106568449
350;98,0106568449
355;97,9988213654
360;98,0027665253
365;97,9988213654
370;97,959369767
375;97,9475342875
380;97,9317536481
385;97,9435891276
390;97,9396439678
395;97,9238633284
400;97,8923020497
405;97,908082689
410;97,8686310906
415;97,9356988079
420;97,9356988079
425;98,0816697221
430;98,1132310008
435;98,0224923245
440;98,0027665253
445;98,0619439229
450;98,0067116851
455;98,0146020048
460;98,0146020048
465;98,0067116851
470;98,0146020048
475;98,0106568449
480;98,0106568449
485;97,9514794473
490;97,9514794473
495;97,9435891276
500;97,9199181686
505;97,9199181686
510;97,9633149268
515;98,0067116851
520;98,0146020048
525;98,0106568449
530;98,0027665253
535;98,0027665253
540;98,0540536032
545;98,0461632835
550;98,0185471646
555;98,0146020048
560;98,057998763
565;98,0067116851
570;98,0067116851
575;98,0067116851
580;98,0067116851
585;98,0224923245
590;98,0067116851
595;98,0146020048
600;98,0146020048
