"Latest: Time (s)";"Latest: Pressure (kPa)"
0;96,4799348261
5;96,333963912
10;96,2905671537
15;96,3457993915
20;96,2905671537
25;96,2866219939
30;96,333963912
35;96,4799348261
40;96,3773606702
45;96,3891961498
50;96,4010316293
55;96,4049767891
60;96,4010316293
65;96,4128671088
70;96,4680993466
75;96,4759896663
80;96,483879986
85;96,5391122238
90;96,5351670639
95;96,6259057403
100;96,7126992568
105;96,5943444616
110;96,6969186175
115;96,7048089372
120;96,63379606
125;96,708754097
130;96,7245347364
135;96,7876572938
140;96,7916024537
145;96,7994927734
150;96,7916024537
155;96,7876572938
160;96,7916024537
165;96,8389443718
170;96,8468346915
175;96,8981217694
180;96,858670171
185;96,9217927285
190;96,9651894867
195;96,9651894867
200;96,9770249663
205;96,9809701261
210;96,9651894867
215;96,9770249663
220;96,9730798064
225;96,9770249663
230;96,9730798064
235;96,9691346466
240;97,0046410852
245;97,0283120442
250;97,0243668844
255;97,0283120442
260;97,0322572041
265;97,0362023639
270;97,0283120442
275;97,0283120442
280;97,0401475237
285;97,0677636426
290;97,083544282
295;97,083544282
300;97,0914346017
305;97,0874894419
310;97,2176797166
315;97,209789397
320;97,1190507206
325;97,1387765198
330;97,13483136
335;97,1308862001
340;97,13483136
345;97,1427216796
350;97,1387765198
355;97,13483136
360;97,1387765198
365;97,1427216796
370;97,1427216796
375;97,1663926387
380;97,1861184379
385;97,1940087576
390;97,1900635978
395;97,1703377985
400;97,1782281182
405;97,2018990773
410;97,1821732781
415;97,1979539174
420;97,1940087576
425;97,1861184379
430;97,1821732781
435;97,1861184379
440;97,1940087576
445;97,1506119993
450;97,1545571592
455;97,1269410403
460;97,1821732781
465;97,1308862001
470;97,1269410403
475;97,13483136
480;97,1308862001
485;97,1229958804
490;97,1308862001
495;97,1111604009
500;97,0993249214
505;97,0795991222
510;97,3202538725
515;97,2689667946
520;97,3912667497
525;97,3754861103
530;97,4109925489
535;97,4543893072
540;97,4543893072
545;97,4977860654
550;97,4662247867
555;97,4662247867
560;97,3912667497
565;97,4504441473
570;97,4701699466
575;97,4701699466
580;97,4504441473
585;97,458334467
590;97,4977860654
595;97,4622796269
600;97,458334467
